Albania	VFN	2095
American Samoa	TFN	
Angola	TFR	232
Antigua and Barbuda	TFR	55
Argentina	TFR	3121
Armenia	TFR	826
Australia	VFR	447790
Azerbaijan	VFR	1032
Bahamas	TFR	313
Bahrain	VFN	
Bangladesh	TFN	
Barbados	TFR	87
Belarus	TFN	69
Belarus	VFN	266
Belgium	THSR	9609
Belgium	TCER	10428
Benin	TFR	33
Bhutan	TFN	3886
Botswana	TFR	
Brazil	TFR	6485
Brunei Darussalam	TFN	14091
Bulgaria	VFR	2322
Bulgaria	THSR	1917
Bulgaria	TCER	1965
Cambodia	TFR	86251
Canada	TFR	36340
Canada	VFR	37870
Cayman Islands	TFR	110
Chile	TFN	2004
China	VFN	978028
Colombia	TFR	934
Congo	VFR	92
Congo, Democratic Republic of the	TFR	
Cook Islands	TFR	83
Costa Rica	TFN	505
Cuba	VFR	
Dominica	TFR	8
Ecuador	VFN	542
Ecuador	VFR	604
Egypt	VFN	5219
El Salvador	TFN	59
El Salvador	THSN	20
Finland	TCER	33934
French Polynesia	TFR	335
French Polynesia	THSR	301
Georgia	VFR	1423
Grenada	TFN	55
Guam	TFR	1109
Guinea	TFN	
Guinea	TFR	
Guinea	THSR	
Guyana	TFR	
Honduras	TFN	
Hong Kong	TFR	481413
Hong Kong	VFR	610508
Iceland	TFN	10572
India	TFN	183581
Indonesia	VFN	1768744
Indonesia	VFR	
Indonesia	THSR	
Iran	VFN	1053
Israel	TFR	14036
Israel	VFR	14240
Italy	TFN	44269
Italy	VFN	45314
Jamaica	TFR	203
Japan	VFN	437280
Jordan	TFN	6089
Jordan	VFN	8668
Kazakhstan	VFR	1698
Korea, Republic of	VFN	231897
Kuwait	VFN	1255
Lao People's Democratic Republic	VFN	7692
Latvia	VFR	
Latvia	TCER	1270
Lebanon	TFN	637
Macao, China	VFN	134766
Macao, China	VFR	134840
Macao, China	THSR	71808
Madagascar	TFN	149
Malaysia	TFN	10615986
Maldives	TFN	13877
Mali	TFN	7
Mali	TFR	14
Mauritius	TFR	2809
Mexico	TFN	4377
Mexico	TFR	3938
Mongolia	TFN	2649
Mongolia	VFN	2746
Morocco	TFN	4989
Myanmar	TFN	58657
Nepal	TFN	9179
New Zealand	VFR	61464
Nicaragua	TFN	85
Nigeria	VFN	
Northern Mariana Islands	VFN	
Norway	THSR	19031
Norway	TCER	19852
Oman	VFR	1775
Palau	TFN	188
Panama	VFR	595
Papua New Guinea	VFR	1449
Paraguay	TFN	62
Peru	TFR	2608
Peru	THSN	6457
Philippines	TFR	171796
Philippines	TCER	171515
Poland	VFN	10000
Poland	THSR	6644
Poland	TCER	6985
Portugal	THSR	
Portugal	TCER	
Reunion	TFR	
Romania	VFR	2358
Russia	VFN	
Rwanda	VFN	
San Marino	VFN	436
Saudi Arabia	TFN	23797
Seychelles	TFR	424
Sierra Leone	TFR	12
South Africa	TFR	9093
South Africa	VFR	9890
Sri Lanka	TFN	19461
Sri Lanka	TFR	19861
Suriname	TFR	
Switzerland	THSR	78255
Taiwan	VFR	427222
Taiwan	TCER	413911
Tajikistan	VFR	210
Tanzania, United Republic of	VFR	1626
Thailand	TFN	1066219
Thailand	TFR	1168112
Thailand	THSN	1464338
Timor-Leste	TFR	1373
Trinidad and Tobago	TFN	155
Turkey	TFN	27966
Turkey	VFN	28382
Turkey	THSN	31762
Turkey	TCEN	36658
Uganda	TFR	
Ukraine	TFR	845
United Arab Emirates	THSN	10895
United Kingdom	VFR	177672
United States	TFR	166348
Uzbekistan	VFR	1782
Venezuela, Bolivarian Republic of	TFN	
Viet Nam	VFR	286246
Yemen	TFN	
Zimbabwe	VFR	6296
		
END		
