Angola	84
Antigua and Barbuda	26
Armenia	445
Australia	202790
Austria	186024
Azerbaijan	15
Bahamas	107
Barbados	25
Belarus	739
Belgium	20900
Bhutan	1496
Brazil	6096
Brunei Darussalam	1869
Bulgaria	5092
Cambodia	134637
Canada	132287
Cayman Islands	29
Chile	4092
China	6136081
Colombia	2035
Congo	11
Costa Rica	2433
Czech Republic	181967
Dominica	61
Dominican Republic	402
Ecuador	1568
Egypt	18866
Eswatini	1331
Finland	18033
French Polynesia	519
Georgia	56
Germany	222965
Grenada	47
Guam	27882
Hong Kong	1925234
Iceland	28473
India	49457
Indonesia	208317
Iran	1599
Israel	13029
Italy	12688
Jamaica	76
Japan	4757258
Jordan	4502
Kazakhstan	911
Kiribati	88
South Korea	1115333
Kuwait	327
Lao People's Democratic Republic	4823
Latvia	2894
Lebanon	306
Lesotho	1142
Liechtenstein	103
Macao	1060968
Madagascar	145
Malaysia	383922
Maldives	12439
Mali	17
Mauritius	1767
Mexico	11437
Mongolia	5272
Morocco	7503
Myanmar	35685
Nepal	11092
Netherlands	77000
New Zealand	44659
Nicaragua	869
Northern Mariana Islands	853
Norway	30542
Palau	11386
Panama	1576
Paraguay	696
Peru	10358
Philippines	242411
Poland	10000
Puerto Rico	105
Romania	5789
Russia	12553
San Marino	380
Seychelles	241
Singapore	422938
South Africa	6130
Spain	72888
Sri Lanka	8187
Switzerland	148465
Tanzania, United Republic of	1289
Thailand	893826
Trinidad and Tobago	67
Turkey	239473
Ukraine	1138
United Arab Emirates	3879
United Kingdom	80720
United States	478001
Uzbekistan	1338
Vietnam	714112
